city,2015_pop,n_killed,pc_killed,state
Baltimore,623031,264,42.37349345377678,Maryland
Milwaukee,601012,131,21.79656978562824,Wisconsin
Las Vegas,621481,132,21.239587372743497,Nevada
Memphis,654753,124,18.938439380957398,Tennessee
Detroit,678250,126,18.57722078879469,Michigan
Washington,672736,122,18.134899871569232,District of Columbia
Indianapolis,854051,139,16.275374655611902,Indiana
Chicago,2725154,432,15.852315135218047,Illinois
Houston,2282235,292,12.794475590813391,Texas
Philadelphia,1570507,186,11.843309198876542,Pennsylvania
Columbus,852305,90,10.559600143141246,Ohio
Jacksonville,866856,88,10.151628413485055,Florida
Oklahoma City,631149,58,9.189589146144572,Oklahoma
Albuquerque,556205,49,8.809701458994436,New Mexico
Charlotte,826710,66,7.983452480313533,North Carolina
Denver,681618,50,7.335487032326024,Colorado
Dallas,1299793,91,7.001114792893946,Texas
Fort Worth,834968,56,6.706843855093847,Texas
Fresno,519650,34,6.542865390166458,California
San Antonio,1464147,94,6.4201203840871175,Texas
