Incident Date,State,City Or County,Address,# Killed,# Injured
2017-07-27,Illinois,Chicago,2000 block of E 71st St,1,4
2017-07-28,Delaware,Wilmington,400 block of N Washington St,0,4
2017-07-29,New York,Buffalo,200 block of Carl St,1,4
2017-07-29,North Carolina,Salisbury,115 W Fisher St,2,3
2017-07-30,Texas,El Paso,1810 George Dieter Dr,1,3
2017-07-30,Virginia,Norfolk,1500 block of Azalea Garden Rd,1,5
2017-07-31,Illinois,Decatur,Jasper St and Main St,0,4
2017-08-01,Illinois,Chicago,800 block of N Monticello Ave,0,4
2017-08-01,California,Fresno,Mariposa St and A St,0,7
2017-08-01,Washington,Toppenish,8000 Block of Lateral C Rd,0,6
2017-08-02,Maryland,Baltimore,900 block of N Broadway,0,4
2017-08-03,District of Columbia,Washington,3426 18th St NE,1,3
2017-08-04,Montana,Lodge Grass,200 block of North Helen Street,3,2
2017-08-05,Florida,Tallahassee,1939 W Tennessee St,1,3
2017-08-05,South Carolina,Allendale,300 block of Ellis St,1,3
2017-08-05,New Jersey,Lakewood,900 block of Brook Road,0,4
2017-08-06,New York,Bronx,Wickham Ave,0,6
2017-08-06,California,Oakland,1000 block of 106th Avenue,0,7
2017-08-06,New York,Bronx,Unionport Rd,0,4
2017-08-08,Illinois,Chicago,1 block of East 37th Street,1,6
2017-08-12,Missouri,Saint Louis,12310 Bellefontaine Rd,1,3
2017-08-13,Pennsylvania,Philadelphia,39th St and Melon St,0,5
2017-08-13,Virginia,Suffolk,8700 block of Quay Rd,0,4
2017-08-13,California,Sacramento,4000 Block of Martin Luther King Jr Blvd,0,4
2017-08-14,California,North Hollywood,Morrison St and Klump Ave,2,2
2017-08-16,New York,Wyandanch,Merritt Ave and 15th St,0,4
2017-08-19,Ohio,Cleveland,11143 Superior Ave,1,4
2017-08-20,New York,Brooklyn,100th St and Ave M,0,4
2017-08-20,Illinois,Chicago,11901 S Loomis St,2,5
2017-08-21,New Jersey,Newark,Fabyan Place,0,4
2017-08-21,New Jersey,Newark,700 block of S 19th St,1,3
2017-08-21,Maryland,Baltimore,Cottage Avenue and Park Heights Avenue,1,3
2017-08-21,North Carolina,Whitakers,980 Fishing Creek Rd,4,0
2017-08-21,Tennessee,Memphis,262 Decatur St,0,4
2017-08-22,Illinois,Chicago,300 block of N Central Ave,0,4
2017-08-24,Missouri,Saint Louis,10400 block of Balmoral Dr,4,0
2017-08-25,Florida,Gainesville,1600 NE 8th Ave,0,4
2017-08-27,California,Sacramento,7760 24th St,1,4
2017-08-27,Indiana,Evansville,1127 Chestnut St,1,3
2017-08-28,New Mexico,Clovis,701 N Main St,2,4
2017-09-02,Illinois,Chicago,8300 block of S Hermitage,1,3
2017-09-02,Kentucky,Louisville,8008 Watterson Trail,0,4
2017-09-03,California,Inglewood,10100 block of S Firmona Ave,2,3
2017-09-04,Illinois,Bellwood,1000 block of Bellwood Ave,0,4
2017-09-06,Illinois,Chicago,2700 block of Madison,0,4
2017-09-09,Alabama,Selma,Kings Bend Road,0,4
2017-09-10,Texas,Plano,1712 West Spring Creek Parkway,9,1
2017-09-10,Louisiana,New Orleans,2101 N Claiborne Ave,1,3
2017-09-13,Washington,Rockford,14626 S Jackson Rd,1,3
2017-09-13,Pennsylvania,York,400 block of S Duke St,0,4
2017-09-13,Tennessee,Memphis,1000 block of Morehead St,1,5
2017-09-13,Pennsylvania,Philadelphia,3100 block of N 2nd St,0,4
2017-09-16,South Carolina,Columbia,920 Lady Street,0,8
2017-09-17,Virginia,Petersburg,300 Mistletoe St,1,4
2017-09-17,Michigan,Detroit,5000 block of Stanton Street,1,3
2017-09-20,Indiana,Gary,4300 block of 23rd Ct,0,5
2017-09-23,Connecticut,Hartford,1164 Albany Ave,2,2
2017-09-23,Illinois,Danville,Seminary St and Jackson St,0,5
2017-09-23,California,Bakersfield,818 Real Rd,1,4
2017-09-24,New Jersey,Mays Landing,6000 block of Hoover Dr,1,3
2017-09-24,New York,Syracuse,1226 E Fayette St,0,4
2017-09-24,Tennessee,Antioch,3890 Pin Hook Rd,1,8
2017-09-24,Maryland,Baltimore,500 block of E. Patapsco Avenue,0,4
2017-09-26,Tennessee,Memphis,2531 Chelsea Ave,0,4
2017-09-26,Pennsylvania,Philadelphia,100 block of Pastorius St,1,3
2017-09-26,Maryland,Baltimore,3200 block of Lyndale Ave,2,2
2017-09-28,Louisiana,New Orleans,2001 N Rocheblave St,1,3
2017-09-30,Tennessee,Memphis,800 block of Kerr Avenue,1,3
2017-10-01,Nevada,Las Vegas,3950 Las Vegas Blvd S,59,441
2017-10-01,Kansas,Lawrence,1000 block of Massachusetts St,3,2
2017-10-03,Florida,Miami,2051 NW 65th St,0,4
2017-10-05,Arizona,Casa Grande,400 block of W 13th Street,4,0
2017-10-06,Illinois,Chicago,8000 block of S Marshfield,0,5
2017-10-07,Arizona,Phoenix,87th Ave and Thomas Rd,0,4
2017-10-09,Texas,Houston,3352 Old Spanish Trail,0,5
2017-10-10,California,San Francisco,25th St and Treat Ave,0,4
2017-10-11,Ohio,Pedro,15497 SR 93,4,0
2017-10-12,California,Aliso Viejo,6 Asbury Ct,2,2
2017-10-15,Texas,Houston,6233 Gulfton St,2,2
2017-10-15,Arizona,Phoenix,107th Ave and Camelback Rd,1,3
2017-10-16,Mississippi,Meridian,5th Street,1,3
2017-10-17,New York,Brooklyn,181 Martense St,0,4
2017-10-18,Maryland,Edgewood,2111 Emmorton Park Rd,3,3
2017-10-21,Florida,Tampa,400 Block of E Nordica St,0,4
2017-10-21,Pennsylvania,Chester,1200 block of W Carlas Ln,0,4
2017-10-21,Tennessee,Nashville,1277 12th Ave S,0,4
2017-10-21,Florida,Jacksonville,164 E Eubanks St,0,4
2017-10-22,Alabama,Lanett,1606 19th St Sw,2,7
2017-10-22,Connecticut,Hartford,Wethersfield Avenue and Elliott Street,0,4
2017-10-23,California,Clearlake Oaks,13000 block of Anchor Village,2,3
2017-10-27,California,San Francisco,1100 block of Fillmore,0,4
2017-10-27,Kentucky,Louisville,1716 Prentice St,0,6
2017-10-28,Virginia,Petersburg,N Sycamore St and Franklin,1,3
2017-10-28,Ohio,Toledo,1327 N Huron St,0,4
2017-10-29,Texas,Austin,5500 block of Ave F,1,3
2017-11-03,New York,Buffalo,147 Roosevelt Ave,0,4
2017-11-03,Minnesota,Minneapolis,10th Ave S and E 24th St,0,4
2017-11-03,Louisiana,Lacombe,27600 block of Mirmar Street,1,4
2017-11-03,California,Gardena,E 163rd St and S Main St,0,4
2017-11-04,California,Santa Monica,1515 Ocean Avenue,1,3
2017-11-04,Ohio,Youngstown,2810 Market St,0,4
2017-11-04,Texas,Austin,N Lamar Blvd and Masterson Pass,0,4
2017-11-05,Texas,Sutherland Springs,216 4th St,27,20
2017-11-09,Pennsylvania,Philadelphia,1800 block of Ringgold,0,4
2017-11-10,Ohio,Dayton (Trotwood),193 Olive Rd,0,4
2017-11-11,North Carolina,Fayetteville,2835 Bragg Blvd,1,5
2017-11-11,Louisiana,New Orleans,Forstall Street and Burgundy Street,1,5
2017-11-11,Texas,Dallas,2532 Martin Luther King Jr Blvd,1,3
2017-11-12,Georgia,Atlanta,50 Lower Alabama St,2,2
2017-11-12,California,Fresno,S Calvin Ave,0,5
2017-11-12,Indiana,Gary,4601 Melton Rd,0,7
2017-11-14,California,Corning,17357 Stagecoach Rd,6,12
2017-11-14,California,Richmond,900 Block of View Dr,2,2
2017-11-16,Georgia,Columbus,1400 block of 15th Street,0,7
