city,2016_pop,n_killed,pc_killed,state
Baltimore,616958,264,42.79059514586082,Maryland
Memphis,653369,188,28.773939381880684,Tennessee
Las Vegas,631710,159,25.169777271216223,Nevada
Milwaukee,597508,135,22.593839747752334,Wisconsin
Chicago,2720275,591,21.725744639788257,Illinois
Detroit,675480,131,19.393616391306924,Michigan
Indianapolis,857453,161,18.776539355509865,Indiana
Washington,684336,106,15.489467162329616,District of Columbia
Philadelphia,1574765,221,14.033839969773267,Pennsylvania
Houston,2304482,289,12.54077922934525,Texas
San Antonio,1487738,169,11.359527013492967,Texas
Jacksonville,880893,95,10.784510718100837,Florida
Columbus,863741,90,10.419790191735718,Ohio
Oklahoma City,639163,64,10.013095251133121,Oklahoma
Albuquerque,557509,53,9.506572988059386,New Mexico
Dallas,1322140,123,9.303099520474381,Texas
Denver,694777,57,8.204071234367287,Colorado
Charlotte,843484,63,7.46902134480322,North Carolina
Phoenix,1602042,108,6.741396292981083,Arizona
Boston,678430,43,6.3381631118906885,Massachusetts
