city,n_killed,2015_pop,pc_killed
"Gary, Indiana",45,77267,58.2396107005578
"Flint, Michigan",48,97738,49.110888293192005
"New Orleans, Louisiana",174,390711,44.5341953515514
"Baltimore, Maryland",264,623031,42.37349345377678
"Camden, New Jersey",31,75826,40.88307440719542
"Birmingham, Alabama",82,211621,38.748517396666685
"Wilmington, Delaware",26,71372,36.4288516505072
"Baton Rouge, Louisiana",82,227864,35.98637783941298
"Savannah, Georgia",51,145652,35.01496718205036
"Jackson, Mississippi",47,170752,27.525299850074962
"Cleveland, Ohio",107,389009,27.505790354464807
"Greenville, South Carolina",16,63384,25.24296352391771
"Newark, New Jersey",70,282854,24.747749722471667
"Saginaw, Michigan",12,49201,24.389748175850084
"West Palm Beach, Florida",25,107021,23.35990132777679
"Portsmouth, Virginia",22,96241,22.85928034829231
"North Little Rock, Arkansas",15,66314,22.61965799077118
"Springfield, Ohio",13,59436,21.872265966754156
"Milwaukee, Wisconsin",131,601012,21.79656978562824
"Las Vegas, Nevada",132,621481,21.239587372743497
