city,n_killed,2016_pop,pc_killed
"Camden, New Jersey",42,74513,56.36600324775543
"Gary, Indiana",37,76595,48.3060251974672
"Orlando, Florida",132,277879,47.5026900197568
"Flint, Michigan",46,96985,47.43001495076558
"New Orleans, Louisiana",174,393021,44.27244345721984
"Baltimore, Maryland",264,616958,42.79059514586082
"Birmingham, Alabama",87,211263,41.18089774357081
"Jackson, Mississippi",64,169005,37.86870210940505
"Cleveland, Ohio",133,387451,34.3269213397307
"Wilmington, Delaware",24,71244,33.6870473303015
"Dayton, Ohio",45,140743,31.973170956992536
"Fort Myers, Florida",24,76741,31.27402561863932
"Baton Rouge, Louisiana",71,227352,31.229107287378163
"Bradenton, Florida",17,54890,30.97103297504099
"Elkhart, Indiana",16,52567,30.437346624308027
"Memphis, Tennessee",188,653369,28.773939381880684
"Richmond, Virginia",63,225288,27.96420581655481
"Kansas City, Kansas",42,152159,27.60270506509638
"Savannah, Georgia",40,146264,27.34780944046382
"North Charleston, South Carolina",30,109732,27.339335836401418
