city,n_killed,2017_pop,pc_killed
"Wilmington, Delaware",38,71106,53.441341096391305
"Birmingham, Alabama",108,210710,51.25527976840207
"Baltimore, Maryland",303,611648,49.53829653657005
"Gary, Indiana",36,76008,47.3634354278497
"Baton Rouge, Louisiana",97,225374,43.03956978178494
"New Orleans, Louisiana",147,393292,37.37680908841268
"Richmond, Virginia",84,227032,36.99918954156242
"Flint, Michigan",35,96448,36.28898473788985
"Greenville, South Carolina",24,68219,35.18081472903443
"Saginaw, Michigan",17,48677,34.92409146003246
"Jackson, Mississippi",56,166965,33.539963465396944
"Las Vegas, Nevada",214,641676,33.35016425735106
"West Palm Beach, Florida",36,110222,32.66135617208906
"Youngstown, Ohio",21,64604,32.50572719955421
"North Charleston, South Carolina",36,110861,32.47309694121468
"Cleveland, Ohio",125,385525,32.42331885091758
"Pensacola, Florida",17,52590,32.32553717436775
"Columbia, South Carolina",41,133114,30.800667097375182
"Camden, New Jersey",21,74532,28.17581709869586
"Canton, Ohio",19,70909,26.794906147315576
