city,n_killed,2014_pop,pc_killed,state
Baltimore,172,624062,27.56136409523413,Maryland
Detroit,142,681499,20.83642088983256,Michigan
Las Vegas,108,611503,17.661401497621434,Nevada
Memphis,110,655788,16.773713456177912,Tennessee
Indianapolis,136,849970,16.000564725813852,Indiana
Chicago,414,2726533,15.184118439057954,Illinois
Milwaukee,91,601202,15.136343525137972,Wisconsin
Washington,91,660797,13.771248961481364,District of Columbia
Philadelphia,213,1564042,13.61856011539332,Pennsylvania
Jacksonville,94,853479,11.013744919324319,Florida
Columbus,92,839646,10.956998544624758,Ohio
Fresno,50,515416,9.70090179583094,California
Houston,217,2238795,9.692714160966055,Texas
San Antonio,117,1435554,8.150163630208269,Texas
Dallas,96,1278504,7.508775881811867,Texas
Albuquerque,38,555793,6.837077832934204,New Mexico
Charlotte,55,808320,6.804235946159937,North Carolina
Oklahoma City,38,620892,6.120227028211025,Oklahoma
Los Angeles,236,3922668,6.016313386705171,California
Phoenix,87,1547729,5.6211391012250855,Arizona
