city,n_killed,2016_pop,pc_killed,state
Baltimore,264,616958,42.79059514586082,Maryland
Memphis,188,653369,28.773939381880684,Tennessee
Las Vegas,159,631710,25.169777271216223,Nevada
Milwaukee,135,597508,22.593839747752334,Wisconsin
Chicago,591,2720275,21.725744639788257,Illinois
Detroit,131,675480,19.393616391306924,Michigan
Indianapolis,161,857453,18.776539355509865,Indiana
Washington,106,684336,15.489467162329616,District of Columbia
Philadelphia,221,1574765,14.033839969773267,Pennsylvania
Houston,289,2304482,12.54077922934525,Texas
San Antonio,169,1487738,11.359527013492967,Texas
Jacksonville,95,880893,10.784510718100837,Florida
Columbus,90,863741,10.419790191735718,Ohio
Oklahoma City,64,639163,10.013095251133121,Oklahoma
Albuquerque,53,557509,9.506572988059386,New Mexico
Dallas,123,1322140,9.303099520474381,Texas
Denver,57,694777,8.204071234367287,Colorado
Charlotte,63,843484,7.46902134480322,North Carolina
Phoenix,108,1602042,6.741396292981083,Arizona
Boston,43,678430,6.3381631118906885,Massachusetts
